id_place,coordonates,longitude,latitude,adress,id_city_name
I103230008,"48.51945, 3.72173",3.72173,48.51945,3 rue des champs elysées,205
I103620002,"48.2946, 4.02687",4.02687,48.2946,11 Rue de la Maladière,206
I130190007,"43.42646, 5.36437",5.36437,43.42646,Route Départementale 543,207
I130210003,"43.33872, 5.15687",5.15687,43.33872,QUARTIER DE LA LOGE,208
I130220012,"43.23138, 5.53316",5.53316,43.23138,avenue des Gorguettes,209
I130260002,"43.39896, 5.13728",5.13728,43.39896,161 avenue du bolmon,210
I130260003,"43.3812, 5.1665",5.1665,43.3812,Rue du Grand Jas,210
I130260006,"43.3793, 5.1728",5.1728,43.3793,Avenue des Anciens Combattants,210
I130260013,"43.3993, 5.1147",5.1147,43.3993,Avenue Saint Médard,210
I130280004,"43.1851, 5.6019",5.6019,43.1851,AV JULES FERRY,59
I130410007,"43.45689, 5.47416",5.47416,43.45689,AVENUE  LEO LAGRANGE,67
I130470006,"43.592, 4.934",4.934,43.592,AVENUE DES GINESTES ENTRESSEN,70
I130470008,"43.5172, 4.9898",4.9898,43.5172,ZAC DES SALLES,70
I130470048,"43.5081, 4.98923",4.98923,43.5081,BD EDOUARD GUIZONNIER,70
I131170006,"43.4427, 5.248",5.248,43.4427,AV PAUL GUIGOU,107
I131170010,"43.4261, 5.273",5.273,43.4261,AV RHIN ET DANUBE,107
I132030014,"43.3093, 5.38389",5.38389,43.3093,68 RUE CAVAIGNAC,211
I132040014,"43.30065, 5.40135",5.40135,43.30065,20 BOULEVARD FRANCOISE DUPARC,212
